FirstTeam,SecondTeam,Date,W/L,HomeCourt
MIL,ORL,03/07/2023,W,0
BKN,HOU,03/07/2023,W,0
ORL,MIL,03/07/2023,L,1
MIN,PHI,03/07/2023,L,1
HOU,BKN,03/07/2023,L,1
OKC,GSW,03/07/2023,W,1
GSW,OKC,03/07/2023,L,0
PHI,MIN,03/07/2023,W,0
NYK,CHA,03/07/2023,L,1
DAL,UTA,03/07/2023,W,1
UTA,DAL,03/07/2023,L,0
DET,WAS,03/07/2023,L,1
WAS,DET,03/07/2023,W,0
LAL,MEM,03/07/2023,W,1
MEM,LAL,03/07/2023,L,0
CHA,NYK,03/07/2023,W,0
CLE,BOS,03/06/2023,W,1
BOS,CLE,03/06/2023,L,0
PHI,IND,03/06/2023,W,0
IND,PHI,03/06/2023,L,1
POR,DET,03/06/2023,W,0
DET,POR,03/06/2023,L,1
DEN,TOR,03/06/2023,W,1
SAC,NOP,03/06/2023,W,1
NOP,SAC,03/06/2023,L,0
TOR,DEN,03/06/2023,L,0
ATL,MIA,03/06/2023,L,0
MIA,ATL,03/06/2023,W,1
NYK,BOS,03/05/2023,W,0
SAS,HOU,03/05/2023,L,0
HOU,SAS,03/05/2023,W,1
WAS,MIL,03/05/2023,L,1
MIL,WAS,03/05/2023,W,0
OKC,UTA,03/05/2023,W,1
GSW,LAL,03/05/2023,L,0
LAL,GSW,03/05/2023,W,1
MEM,LAC,03/05/2023,L,0
PHX,DAL,03/05/2023,W,0
DAL,PHX,03/05/2023,L,1
IND,CHI,03/05/2023,W,0
POR,ORL,03/05/2023,W,0
ORL,POR,03/05/2023,L,1
UTA,OKC,03/05/2023,L,0
CHA,BKN,03/05/2023,L,0
CHI,IND,03/05/2023,L,1
BKN,CHA,03/05/2023,W,1
LAC,MEM,03/05/2023,W,1
BOS,NYK,03/05/2023,L,1
WAS,TOR,03/04/2023,L,1
TOR,WAS,03/04/2023,W,0
SAS,HOU,03/04/2023,L,1
HOU,SAS,03/04/2023,W,0
DET,CLE,03/04/2023,L,0
CLE,DET,03/04/2023,W,1
ATL,MIA,03/04/2023,L,0
MIA,ATL,03/04/2023,W,1
MIL,PHI,03/04/2023,L,1
PHI,MIL,03/04/2023,W,0
SAC,MIN,03/04/2023,L,1
MIN,SAC,03/04/2023,W,0
DEN,MEM,03/03/2023,W,1
ATL,POR,03/03/2023,W,1
POR,ATL,03/03/2023,L,0
BKN,BOS,03/03/2023,W,0
ORL,CHA,03/03/2023,W,0
BOS,BKN,03/03/2023,L,1
CHA,ORL,03/03/2023,L,1
MEM,DEN,03/03/2023,L,0
OKC,UTA,03/03/2023,W,1
