FirstTeam,SecondTeam,Date,W/L
PHI,BKN,01/25/2023,W
TOR,SAC,01/25/2023,W
MEM,GSW,01/25/2023,L
OKC,ATL,01/25/2023,L
MIN,NOP,01/25/2023,W
SAS,LAL,01/25/2023,L
IND,CHI,01/24/2023,W
LAL,LAC,01/24/2023,L
BOS,MIA,01/24/2023,L
CHA,PHX,01/24/2023,L
CLE,NYK,01/24/2023,L
NOP,DEN,01/24/2023,L
DAL,WAS,01/24/2023,L
HOU,MIN,01/23/2023,W
ORL,BOS,01/23/2023,W
UTA,CHA,01/23/2023,W
DET,MIL,01/23/2023,L
SAC,MEM,01/23/2023,W
SAS,POR,01/23/2023,L
CHI,ATL,01/23/2023,W
TOR,NYK,01/22/2023,W
POR,LAL,01/22/2023,L
GSW,BKN,01/22/2023,L
NOP,MIA,01/22/2023,L
OKC,DEN,01/22/2023,W
PHX,MEM,01/22/2023,W
DAL,LAC,01/22/2023,L
BOS,TOR,01/21/2023,W
HOU,MIN,01/21/2023,L
ATL,CHA,01/21/2023,L
MIL,CLE,01/21/2023,L
PHI,SAC,01/21/2023,W
PHX,IND,01/21/2023,W
ORL,WAS,01/21/2023,L
NOP,ORL,01/20/2023,L
UTA,BKN,01/20/2023,L
IND,DEN,01/20/2023,L
SAS,LAC,01/20/2023,L
MEM,LAL,01/20/2023,L
NYK,ATL,01/20/2023,L
OKC,SAC,01/20/2023,L
GSW,CLE,01/20/2023,W
DAL,MIA,01/20/2023,W
CHI,DET,01/19/2023,W
BOS,GSW,01/19/2023,W
POR,PHI,01/19/2023,L
BKN,PHX,01/19/2023,L
TOR,MIN,01/19/2023,L
NYK,WAS,01/18/2023,L
DEN,MIN,01/18/2023,W
DAL,ATL,01/18/2023,L
LAL,SAC,01/18/2023,L
CLE,MEM,01/18/2023,L
UTA,LAC,01/18/2023,W
NOP,MIA,01/18/2023,L
OKC,IND,01/18/2023,W
CHA,HOU,01/18/2023,W
SAS,BKN,01/17/2023,W
TOR,MIL,01/17/2023,L
PHI,LAC,01/17/2023,W
POR,DEN,01/17/2023,L
NOP,CLE,01/16/2023,L
ATL,MIA,01/16/2023,W
LAL,HOU,01/16/2023,W
MIN,UTA,01/16/2023,L
NYK,TOR,01/16/2023,L
GSW,WAS,01/16/2023,W
CHA,BOS,01/16/2023,L
PHX,MEM,01/16/2023,L
IND,MIL,01/16/2023,L
POR,DAL,01/15/2023,W
NYK,DET,01/15/2023,W
DEN,ORL,01/15/2023,W
SAC,SAS,01/15/2023,W
LAC,HOU,01/15/2023,W
GSW,CHI,01/15/2023,L
BKN,OKC,01/15/2023,L
PHI,LAL,01/15/2023,W
CLE,MIN,01/14/2023,L
CHA,BOS,01/14/2023,L
POR,DAL,01/14/2023,W
MIL,MIA,01/14/2023,L
PHI,UTA,01/14/2023,W
ATL,TOR,01/14/2023,W
MEM,IND,01/14/2023,W
PHX,MIN,01/13/2023,L
GSW,SAS,01/13/2023,W
ATL,IND,01/13/2023,W
NOP,DET,01/13/2023,W
OKC,CHI,01/13/2023,W
NYK,WAS,01/13/2023,W
LAC,DEN,01/13/2023,L
SAC,HOU,01/13/2023,W
ORL,UTA,01/13/2023,L
LAL,DAL,01/12/2023,L
POR,CLE,01/12/2023,L
MIA,MIL,01/12/2023,W
TOR,CHA,01/12/2023,W
BKN,BOS,01/12/2023,L
OKC,PHI,01/12/2023,W
BOS,NOP,01/11/2023,W
HOU,SAC,01/11/2023,L
MEM,SAS,01/11/2023,W
ATL,MIL,01/11/2023,L
IND,NYK,01/11/2023,L
MIN,DET,01/11/2023,L
WAS,CHI,01/11/2023,W
DEN,PHX,01/11/2023,W
TOR,CHA,01/10/2023,W
CLE,UTA,01/10/2023,L
DET,PHI,01/10/2023,L
POR,ORL,01/10/2023,L
LAC,DAL,01/10/2023,W
MIA,OKC,01/10/2023,W
PHX,GSW,01/10/2023,W
LAL,DEN,01/09/2023,L
ORL,SAC,01/09/2023,L
MEM,SAS,01/09/2023,W
BOS,CHI,01/09/2023,W
WAS,NOP,01/09/2023,L
MIL,NYK,01/09/2023,W
LAC,ATL,01/08/2023,L
PHX,CLE,01/08/2023,L
IND,CHA,01/08/2023,W
MIN,HOU,01/08/2023,W
DAL,OKC,01/08/2023,L
MIA,BKN,01/08/2023,L
DET,PHI,01/08/2023,L
MEM,UTA,01/08/2023,W
POR,TOR,01/08/2023,L
DAL,NOP,01/07/2023,W
CHI,UTA,01/07/2023,W
GSW,ORL,01/07/2023,L
SAS,BOS,01/07/2023,L
LAL,SAC,01/07/2023,W
OKC,WAS,01/06/2023,W
TOR,NYK,01/06/2023,L
MIN,LAC,01/06/2023,W
CHA,MIL,01/06/2023,W
POR,IND,01/06/2023,L
PHX,MIA,01/06/2023,L
SAS,DET,01/06/2023,W
ATL,LAL,01/06/2023,L
CHI,PHI,01/06/2023,W
BKN,NOP,01/06/2023,W
DEN,CLE,01/06/2023,W
UTA,HOU,01/05/2023,W
LAC,DEN,01/05/2023,L
BOS,DAL,01/05/2023,W
MEM,ORL,01/05/2023,W
PHX,CLE,01/04/2023,L
CHI,BKN,01/04/2023,W
ORL,OKC,01/04/2023,W
MIN,POR,01/04/2023,W
MIL,TOR,01/04/2023,W
DET,GSW,01/04/2023,W
NYK,SAS,01/04/2023,W
IND,PHI,01/04/2023,L
NOP,HOU,01/04/2023,W
MIA,LAL,01/04/2023,L
MEM,CHA,01/04/2023,W
SAC,ATL,01/04/2023,L
BOS,OKC,01/03/2023,L
WAS,MIL,01/03/2023,L
UTA,SAC,01/03/2023,L
TOR,IND,01/02/2023,L
PHI,NOP,01/02/2023,W
DEN,MIN,01/02/2023,L
BKN,SAS,01/02/2023,W
GSW,ATL,01/02/2023,W
CHI,CLE,01/02/2023,L
CHA,LAL,01/02/2023,L
LAC,MIA,01/02/2023,L
DET,POR,01/02/2023,L
NYK,PHX,01/02/2023,W
DAL,HOU,01/02/2023,W
MIL,WAS,01/01/2023,L
MEM,SAC,01/01/2023,W
DEN,BOS,01/01/2023,W
MIN,DET,12/31/2022,L
BKN,CHA,12/31/2022,W
IND,LAC,12/31/2022,W
MEM,NOP,12/31/2022,W
PHI,OKC,12/31/2022,W
SAS,DAL,12/31/2022,L
MIA,UTA,12/31/2022,W
NYK,HOU,12/31/2022,W
CLE,CHI,12/31/2022,W
UTA,SAC,12/30/2022,L
NOP,PHI,12/30/2022,W
GSW,POR,12/30/2022,W
MIN,MIL,12/30/2022,L
ATL,LAL,12/30/2022,L
CHI,DET,12/30/2022,W
PHX,TOR,12/30/2022,L
ORL,WAS,12/30/2022,L
MIA,DEN,12/30/2022,L
MEM,TOR,12/29/2022,W
LAC,BOS,12/29/2022,L
CHA,OKC,12/29/2022,W
IND,CLE,12/29/2022,W
NYK,SAS,12/29/2022,L
HOU,DAL,12/29/2022,L
LAL,MIA,12/28/2022,L
PHX,WAS,12/28/2022,L
ORL,DET,12/28/2022,L
UTA,GSW,12/28/2022,L
MIN,NOP,12/28/2022,L
ATL,BKN,12/28/2022,L
SAC,DEN,12/28/2022,W
CHI,MIL,12/28/2022,W
OKC,SAS,12/27/2022,W
PHI,WAS,12/27/2022,L
LAC,TOR,12/27/2022,W
BOS,HOU,12/27/2022,W
DAL,NYK,12/27/2022,W
MEM,PHX,12/27/2022,L
ATL,IND,12/27/2022,L
LAL,ORL,12/27/2022,W
DEN,SAC,12/27/2022,W
GSW,CHA,12/27/2022,W
DET,LAC,12/26/2022,L
IND,NOP,12/26/2022,L
HOU,CHI,12/26/2022,W
BKN,CLE,12/26/2022,W
MIA,MIN,12/26/2022,W
CHA,POR,12/26/2022,L
UTA,SAS,12/26/2022,L
MIL,BOS,12/25/2022,L
MEM,GSW,12/25/2022,L
NYK,PHI,12/25/2022,L
PHX,DEN,12/25/2022,L
DAL,LAL,12/25/2022,W
MIL,BKN,12/23/2022,L
MEM,PHX,12/23/2022,W
LAC,PHI,12/23/2022,L
MIA,IND,12/23/2022,L
CHA,LAL,12/23/2022,W
DEN,POR,12/23/2022,W
SAS,ORL,12/23/2022,L
WAS,SAC,12/23/2022,W
HOU,DAL,12/23/2022,L
TOR,CLE,12/23/2022,W
OKC,NOP,12/23/2022,L
MIN,BOS,12/23/2022,L
DET,ATL,12/23/2022,L
NYK,CHI,12/23/2022,L
WAS,UTA,12/22/2022,L
SAS,NOP,12/22/2022,L
LAL,SAC,12/21/2022,L
CHA,LAC,12/21/2022,L
DET,PHI,12/21/2022,L
IND,BOS,12/21/2022,W
ATL,CHI,12/21/2022,L
NYK,TOR,12/21/2022,L
MIL,CLE,12/21/2022,L
DAL,MIN,12/21/2022,W
POR,OKC,12/21/2022,L
HOU,ORL,12/21/2022,L
BKN,GSW,12/21/2022,W
DET,UTA,12/20/2022,L
DEN,MEM,12/20/2022,W
CHI,MIA,12/20/2022,W
PHX,WAS,12/20/2022,L
GSW,NYK,12/20/2022,L
PHX,LAL,12/19/2022,W
MIL,NOP,12/19/2022,W
UTA,CLE,12/19/2022,L
SAC,CHA,12/19/2022,L
HOU,SAS,12/19/2022,L
MIN,DAL,12/19/2022,W
TOR,PHI,12/19/2022,L
ORL,ATL,12/19/2022,L
OKC,POR,12/19/2022,W
DET,BKN,12/18/2022,L
LAL,WAS,12/18/2022,W
CHI,MIN,12/18/2022,L
BOS,ORL,12/18/2022,L
IND,NYK,12/18/2022,L
DEN,CHA,12/18/2022,W
GSW,TOR,12/18/2022,W
UTA,MIL,12/17/2022,L
OKC,MEM,12/17/2022,W
CLE,DAL,12/17/2022,W
WAS,LAC,12/17/2022,L
NOP,PHX,12/17/2022,L
MIA,SAS,12/17/2022,W
HOU,POR,12/17/2022,L
CLE,IND,12/16/2022,W
ATL,CHA,12/16/2022,W
CHI,NYK,12/16/2022,L
GSW,PHI,12/16/2022,L
DAL,POR,12/16/2022,W
BKN,TOR,12/16/2022,W
SAC,DET,12/16/2022,W
ORL,BOS,12/16/2022,W
DEN,LAL,12/16/2022,L
MIN,OKC,12/16/2022,W
UTA,NOP,12/15/2022,W
PHX,LAC,12/15/2022,W
MIA,HOU,12/15/2022,W
MIL,MEM,12/15/2022,L
POR,SAS,12/14/2022,W
LAC,MIN,12/14/2022,W
TOR,SAC,12/14/2022,L
GSW,IND,12/14/2022,L
ORL,ATL,12/14/2022,W
CHI,NYK,12/14/2022,L
CHA,DET,12/14/2022,L
DEN,WAS,12/14/2022,W
OKC,MIA,12/14/2022,L
CLE,DAL,12/14/2022,W
LAL,BOS,12/13/2022,L
PHI,SAC,12/13/2022,W
HOU,PHX,12/13/2022,W
GSW,MIL,12/13/2022,L
UTA,NOP,12/13/2022,W
IND,MIA,12/12/2022,L
WAS,BKN,12/12/2022,L
SAS,CLE,12/12/2022,W
ATL,MEM,12/12/2022,L
